,W,Reject null hypothesis
k__Bacteria;p__[Thermi],21,True
k__Bacteria;p__SR1,13,False
k__Bacteria;p__Nitrospirae,11,False
k__Bacteria;p__Synergistetes,7,False
k__Bacteria;p__Chlorobi,10,False
k__Bacteria;p__OD1,11,False
k__Archaea;p__,14,False
k__Bacteria;p__TM7,8,False
k__Bacteria;p__Firmicutes,25,True
k__Bacteria;p__Planctomycetes,8,False
k__Bacteria;p__Gemmatimonadetes,7,False
k__Bacteria;p__Tenericutes,15,False
k__Archaea;p__Crenarchaeota,9,False
k__Bacteria;p__Acidobacteria,7,False
k__Bacteria;p__Cyanobacteria,26,True
k__Archaea;p__Euryarchaeota,10,False
k__Bacteria;p__Spirochaetes,7,False
k__Bacteria;p__Proteobacteria,26,True
k__Bacteria;p__Actinobacteria,26,True
k__Bacteria;p__Fusobacteria,26,True
k__Bacteria;p__Bacteroidetes,25,True
k__Bacteria;p__FBP,9,False
k__Bacteria;p__GN02,8,False
k__Bacteria;p__Verrucomicrobia,24,True
k__Bacteria;p__Deferribacteres,10,False
k__Bacteria;p__Chloroflexi,8,False
k__Bacteria;p__Armatimonadetes,11,False
